Date,Open,High,Low,Close,Adj Close,Volume
2024-03-14,4.790000,4.920000,4.590000,4.830000,4.830000,146117
2024-03-15,4.820000,4.820000,4.650000,4.780000,4.780000,98572
2024-03-18,4.740000,4.910000,4.570000,4.700000,4.700000,219842
2024-03-19,4.580000,4.840000,4.580000,4.730000,4.730000,120715
2024-03-20,4.730000,4.740000,4.610000,4.690000,4.690000,86533
2024-03-21,4.750000,4.910000,4.740000,4.830000,4.830000,103935
2024-03-22,4.830000,4.880000,4.830000,4.870000,4.870000,52556
2024-03-25,4.840000,4.950000,4.800000,4.900000,4.900000,99511
2024-03-26,4.900000,4.960000,4.820000,4.880000,4.880000,58176
2024-03-27,4.800000,4.960000,4.800000,4.950000,4.950000,118373
2024-03-28,4.950000,5.010000,4.820000,4.930000,4.930000,180986
2024-04-02,4.930000,5.030000,4.875000,5.030000,5.030000,137454
2024-04-03,5.000000,5.000000,4.830000,4.840000,4.840000,103782
2024-04-04,4.820000,4.950000,4.800000,4.920000,4.920000,58680
2024-04-05,4.810000,4.850000,4.760000,4.810000,4.810000,97298
2024-04-08,4.820000,4.990000,4.800000,4.970000,4.970000,80216
2024-04-09,4.950000,5.080000,4.950000,5.010000,5.010000,85975
2024-04-10,5.030000,5.100000,4.970000,5.040000,5.040000,102305
2024-04-11,4.860000,5.030000,4.860000,5.010000,5.010000,87318
2024-04-12,5.020000,5.050000,4.780000,4.810000,4.810000,70202
2024-04-15,4.750000,4.820000,4.720000,4.770000,4.770000,121664
2024-04-16,4.680000,4.720000,4.420000,4.550000,4.550000,315568
2024-04-17,4.510000,4.680000,4.490000,4.610000,4.610000,143576
2024-04-18,4.630000,4.730000,4.550000,4.710000,4.710000,128354
2024-04-19,4.800000,4.800000,4.370000,4.550000,4.550000,198924
2024-04-22,4.550000,4.800000,4.470000,4.800000,4.800000,172248
2024-04-23,4.750000,4.930000,4.740000,4.880000,4.880000,112358
2024-04-24,4.880000,4.960000,4.850000,4.890000,4.890000,105946
2024-04-26,4.880000,4.930000,4.710000,4.890000,4.890000,220755
2024-04-29,4.890000,4.950000,4.850000,4.890000,4.890000,91063
2024-04-30,4.850000,4.900000,4.700000,4.700000,4.700000,38247
2024-05-01,4.750000,4.750000,4.440000,4.480000,4.480000,97121
2024-05-02,4.470000,4.490000,4.320000,4.350000,4.350000,197709
2024-05-03,4.390000,4.560000,4.360000,4.540000,4.540000,101604
2024-05-06,4.520000,4.590000,4.430000,4.590000,4.590000,123621
2024-05-07,4.600000,4.660000,4.460000,4.600000,4.600000,59203
2024-05-08,4.460000,4.640000,4.460000,4.470000,4.470000,178622
2024-05-09,4.470000,4.500000,4.330000,4.490000,4.490000,130521
2024-05-10,4.500000,4.710000,4.480000,4.680000,4.680000,162003
2024-05-13,4.590000,4.640000,4.480000,4.640000,4.640000,74980
2024-05-14,4.550000,4.680000,4.550000,4.680000,4.680000,38363
2024-05-15,4.680000,4.680000,4.440000,4.510000,4.510000,84386
2024-05-16,4.480000,4.720000,4.480000,4.630000,4.630000,88601
2024-05-17,4.610000,4.620000,4.480000,4.560000,4.560000,32029
2024-05-20,4.550000,4.610000,4.460000,4.610000,4.610000,58338
2024-05-21,4.580000,4.610000,4.420000,4.430000,4.430000,63314
2024-05-22,4.400000,4.500000,4.350000,4.400000,4.400000,98072
2024-05-23,4.440000,4.640000,4.440000,4.620000,4.620000,96633
2024-05-24,4.620000,4.620000,4.520000,4.620000,4.620000,63917
2024-05-27,4.590000,4.750000,4.550000,4.700000,4.700000,72212
2024-05-28,4.560000,4.760000,4.560000,4.750000,4.750000,123375
2024-05-29,4.680000,4.740000,4.560000,4.560000,4.560000,99342
2024-05-30,4.560000,4.600000,4.440000,4.550000,4.550000,69981
2024-05-31,4.520000,4.590000,4.470000,4.570000,4.570000,70669
2024-06-03,4.520000,4.605000,4.460000,4.550000,4.550000,85728
2024-06-04,4.500000,4.600000,4.380000,4.460000,4.460000,44072
2024-06-05,4.470000,4.530000,4.380000,4.470000,4.470000,40845
2024-06-06,4.500000,4.600000,4.480000,4.540000,4.540000,47948
2024-06-07,4.520000,4.580000,4.380000,4.380000,4.380000,97279
2024-06-11,4.350000,4.400000,4.340000,4.380000,4.380000,81321
2024-06-12,4.300000,4.400000,4.280000,4.280000,4.280000,76052
2024-06-13,4.310000,4.400000,4.190000,4.200000,4.200000,93284
2024-06-14,4.200000,4.240000,4.100000,4.230000,4.230000,129961
2024-06-17,4.200000,4.280000,4.190000,4.280000,4.280000,68413
2024-06-18,4.250000,4.390000,4.240000,4.370000,4.370000,78877
2024-06-19,4.350000,4.350000,4.290000,4.320000,4.320000,65928
2024-06-20,4.320000,4.480000,4.320000,4.340000,4.340000,94999
2024-06-21,4.280000,4.400000,4.280000,4.360000,4.360000,76526
2024-06-24,4.350000,4.400000,4.240000,4.350000,4.350000,105209
2024-06-25,4.240000,4.430000,4.240000,4.430000,4.430000,90146
2024-06-26,4.300000,4.430000,4.300000,4.380000,4.380000,61828
2024-06-27,4.300000,4.380000,4.275000,4.340000,4.340000,66869
2024-06-28,4.290000,4.420000,4.250000,4.320000,4.320000,71001
